company_id,bloomberg_id,company_name,country_of_domicile,ticker,corporate_bond_ticker,figi,isin,cusip,sedol1,asset_type,security_icb_subsector,security_bics_subgroup,security_bclass4,security_mapped_sector,cfi_code,security_type,maturity_date,issue_date,amount_issued,amount_out,coupon_value,par_price,par_amount,current_face_amount,accrued_interest,security_amount_out_native,unit_share_price,position_market,market_value,current_shares_outstanding,current_shares_outstanding_all_classes,free_float_percent,free_float_shares,exchange_rate_usd,moody_rating,s_and_p_rating,fitch_rating,financial_timestamp
,,,US,G2SF 3 3/15,G2SF,BBG0063CPGN8,US21H0306330,21H030633,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,96934180,121633827,3,102.617,96934179507,1,0.1833333,121633827,102.683,1,1.028663,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 3/15,G2SF,BBG0063CPRK7,US21H0326395,21H032639,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287,2993321,3.5,103.001,3940287473,1,0.2138889,2993321,103.191,1,1.034049,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 3/15,G2SF,BBG0063CPRM5,US21H0426385,21H042638,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994.1,50821206.36,4.5,105.32,86532994103,1,0.275,50821206.36,105.037,1,1.05312,,,,,1,,,,2019Q4
,,,US,FGTW 3 4/15,FGTW,BBG0068Q7MN9,US02R0305414,02R030541,,Bonds,,FGLMC Single Family 20yr,,Other,,TBAs,,,46234793.48,,3,,46234793481,,,,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 3.5 5/15,FNCL,BBG006FTDHD0,US01F0326581,01F032658,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,4118667.271,2853918.749,3.5,103.134,4118667271,1,0.116666667,2853918.749,,1,,,,,,1,,,,2019Q4
,,,US,FGLMC 4 5/15,FGLMC,BBG006FTF9G3,US02R0406568,02R040656,,Bonds,,FGLMC Single Family 30yr,,Other,,TBAs,,,7215337.694,4369096.696,4,104.08,7215337694,1,0.133333333,4369096.696,,1,,,,,,1,,,,2019Q4
,,,US,FGTW 3 6/15,FGTW,BBG006L3D9S2,US02R0305661,02R030566,,Bonds,,FGLMC Single Family 20yr,,Other,,TBAs,,,46234793.48,,3,,46234793481,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4 6/15,G2SF,BBG006L3DL23,US21H0406650,21H040665,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857.35,8567362.182,4,,13163857348,,0.188888889,8567362.182,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 6/15,G2SF,BBG006L3DN47,US21H0426617,21H042661,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994,50821206,4.5,,86532994103,,0.2125,50821206,,1,,,,,,1,,,,2019Q4
,,,US,FGTW 3 7/15,FGTW,BBG006RB0RH4,US02R0305745,02R030574,,Bonds,,FGLMC Single Family 20yr,,Other,,TBAs,,,46234793,,3,,46234793481,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3 7/15,G2SF,BBG006RB0TF2,US21H0306744,21H030674,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,96934180,121633827,3,,96934179507,,0.1583333,121633827,,1,,,,,,1,,,,2019Q4
,,,US,FGLMC 4 7/15,FGLMC,BBG006RB1723,US02R0406725,02R040672,,Bonds,,FGLMC Single Family 30yr,,Other,,TBAs,,,7215338,4369097,4,,7215337694,,0.1444444,4369097,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3 7/15,FNCT,BBG006RB1812,US01F0305791,01F030579,,Bonds,,FNMA Single Family 20yr,,Other,,TBAs,,,112607055,,3,,112607054974,,,,,1,,,,,,1,,,,2019Q4
46126,12392676,Aurora Cannabis Inc,CA,ACB US,,BBG006SCSYG7,CA05156X1087,05156X108,BTHYMM3,Equity,Tobacco,Medical-Drugs,Pharmaceuticals,Other,ESVUFR,Common Stocks,,,,,,1.89,,,,,2,1,2,1089513472,1089513472,96.47528544,1051111232.01925448,1,,,,2019Q4
,,,US,FNCL 3.5 8/15,FNCL,BBG006XPP9W2,US01F0326821,01F032682,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,4118667,2853919,3.5,,4118667271,,0.1166667,2853919,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3.5 8/15,FNCT,BBG006XPQ103,US01F0325831,01F032583,,Bonds,,FNMA Single Family 20yr,,Other,,TBAs,,,85732347,,3.5,,85732347283,,,,,1,,,,,,1,,,,2019Q4
10308,130847,Sichuan Chuantou Energy Co Ltd,CN,600674 C1,,BBG00709J003,CNE000000BQ0,,BP3R4Y4,Equity,Conventional Electricity,Electric-Distribution,Local Authority,Power,ESVUFR,Common Stocks,,,,,,9.11,,,,,1.389148,1,1.389148,4402140672,4402141000,24.48205,1077734280.389376,0.1433589,,,,2019Q4
,,,US,G2SF 3 9/15,G2SF,BBG0072D9717,US21H0306900,21H030690,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,96934180,121633827,3,,96934179507,,0.1666667,121633827,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4 9/15,G2SF,BBG0072D9MM1,US21H0406999,21H040699,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857,8567362,4,,13163857348,,0.2222222,8567362,,1,,,,,,1,,,,2019Q4
55172,11774479,Emas Offshore Ltd,SG,EMAS SP,,BBG0074NHZD9,SG1AD2000008,,BRF0TN9,Equity,Oil Equipment & Services,Oil-Field Services,Oil Field Services,Oil&Gas,ESVUFR,Common Stocks,,,,,,,,,,,,1,0,,,,,0.7410701,,,,2019Q4
,,,US,G2SF 4.5 10/15,G2SF,BBG007821V56,US21H0426A28,21H0426A2,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994,50821206,4.5,,86532994103,,0.25,50821206,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3.5 10/15,FNCT,BBG007822302,US01F0325A83,01F0325A8,,Bonds,,FNMA Single Family 20yr,,Other,,TBAs,,,85292205.49,,3.5,,85292205492,,,,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 3.5 11/15,FNCL,BBG007GBWQP2,US01F0326B57,01F0326B5,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,4118667.271,2853918.749,3.5,,4118667271,,0.106944444,2853918.749,,1,,,,,,1,,,,2019Q4
