Co. Corp TKR,Total,Utilities,Supranationals,Government Development Banks,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Metals & Mining,Exploration & Production,Pipeline,Integrated Oils,Airlines,Coal Operations,Oil & Gas Services & Equipment,Renewable Energy,Refining & Marketing,Winding Up Agencies,Government Agencies,Government Regional,Sovereigns,Government Local
NISCH,636648000,,,,,,,,636648000,,,,,,,,,,,,,
NIRMA,562965060,,,,,,,562965060,,,,,,,,,,,,,,
NIPZEO,182882200,,,,,,,182882200,,,,,,,,,,,,,,
NIPYU,1600219250,,,,1600219250,,,,,,,,,,,,,,,,,
NIPSTL,2793872775,,,,,,,,2793872775,,,,,,,,,,,,,
NIPSHO,91257500,,,,,,,91257500,,,,,,,,,,,,,,
NIPSAN,501916250,,,,,,,501916250,,,,,,,,,,,,,,
NIPPLM,0,,,,,,,,0,,,,,,,0,,,,,,
NIPKON,182515000,,,,182515000,,,,,,,,,,,,,,,,,
NIPEXP,1142646550,,,,1142646550,,,,,,,,,,,,,,,,,
NIHMIC,4937819,,,,,,,4937819,,,,,,,,,,,,,,
NICAB,533296000,,,,,,,533296000,,,,,,,,,,,,,,
NIB,27496547448,,27496547448,,,,,,,,,,,,,,,,,,,
NIALLN,0,,,,0,,,,,,,,,,,,,,,,,
NI,7673841000,7673841000,,,,,,,,,0,,,,,,,,,,,
NHYNO,942649500,,,,,,,,942649500,,,,,,,,,,,,,
NHPCIN,2221160118,,,,,2221160118,,,,,,,,,,,,,,,,
NGREFN,517043000,,,,,,,,,517043000,,,,,,,,,,,,
NGPLCO,1900000000,,,,,,,,,,1900000000,,,,,,,,,,,
NGPCN,73225000,,,,,,,,,,,,,,,73225000,,,,,,
NGN,1263108500,1263108500,,,,,,,,,,,,,,,,,,,,
NGLS,4223059000,,,,,,,,,,4223059000,,,,,,,,,,,
