investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,bics_sector,valid_input,direct_holding,financial_sector,sectors_with_assets,has_assets_in_fin_sector,flag
UNPRI,European Portfolio,159,AU000000IPH9,611300.1194146441,Iph Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,160,AU000000IPL1,968845.8061769521,Incitec Pivot Ltd,Equity,Materials,TRUE,TRUE,Other,Power,FALSE,Included in analysis
UNPRI,European Portfolio,161,AU000000IRE2,852556.328956068,Iress Ltd,Equity,Communications,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,162,AU000000IRI3,141690.95845093203,Integrated Research Ltd,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,163,AU000000IVC8,590472.84732084,Invocare Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,164,AU000000JBH7,1637371.5860392442,Jb Hi-Fi Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,165,AU000000JHX1,2617121.306608512,James Hardie Industries Plc,Others,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,166,AU000000JIN0,222707.25936888,Jumbo Interactive Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,167,AU000000KGN2,150311.384659128,Kogan.Com Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,169,AU000000LNK2,1201812.2303332202,Link Administration Holdings L,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
