ISIN,MarketValue,Currency
DE000A1TM5X8,6760,EUR
DE000A1TNAP7,0,EUR
DE000A1TNJ97,13264,EUR
DE000A1TNK86,34020,EUR
DE000A1UDWM7,13257,EUR
DE000A1UDWN5,766672,EUR
DE000A1YCQ29,19538,EUR
DE000A1Z6M04,302443,EUR
DE000A1ZN206,10864,EUR
DE000A1ZZ010,10177,EUR
DE000A2AA0W5,3593,EUR
DE000A2AADD2,15544,EUR
DE000A2AAL23,126660,EUR
DE000A2AAL31,319267,EUR
DE000A2AAPF1,2633,EUR
DE000A2AAVY0,24308,EUR
DE000A2BPA51,334865,EUR
DE000A2BPJ60,50588,EUR
DE000A2DADM7,19801,EUR
DE000A2DAF77,38026,EUR
DE000A2DAHN6,1047381,EUR
DE000A2E4ZE9,50471,EUR
DE000A2G8WA3,9009,EUR
DE000A2G9HU0,12708,EUR
DE000A2GSCW3,797276,EUR
DE000A2GSCX1,172983,EUR
DE000A2GSLY0,189640,EUR
DE000A2LQJ75,25679,EUR
DE000A2NB965,15103,EUR
DE000A2TSTG3,326711,EUR
DE000BASF111,104018,EUR
DE000BAY0017,96442,EUR
DE000BHY0BA8,30439,EUR
DE000BHY0GB5,103100,EUR
DE000BLB6H46,27166,EUR
DE000BLB6JE1,25147,EUR
DE000BRL8115,13854,EUR
DE000BRL9741,37831,EUR
DE000CB83CE3,487214,EUR
DE000CBK1001,2093,EUR
DE000CZ302M3,27008,EUR
DE000CZ40KG0,10206,EUR
DE000CZ40KX5,22884,EUR
DE000CZ40L63,25013,EUR
DE000CZ40LD5,8082,EUR
DE000CZ40LG8,1066116,EUR
DE000CZ40MC5,12040,EUR
DE000CZ40MM4,49033,EUR
DE000CZ40MT9,249875,EUR
DE000CZ40NB5,1098010,EUR
DE000CZ40NM2,88377,EUR
DE000DB5DCS4,593740,EUR
DE000DB5DCW6,93579,EUR
DE000DB7XJB9,315153,EUR
DE000DB7XJP9,9418,EUR
DE000DHY3988,25977,EUR
DE000DHY4457,25366,EUR
DE000DL19S01,121481,EUR
DE000DL19T26,642024,EUR
DE000DL19TA6,627809,EUR
DE000DL19UC0,100799,EUR
DE000DXA0QY2,704997,EUR
DE000DZ78AC8,743134,EUR
DE000DZ78AP0,371899,EUR
DE000DZ8JND6,283592,EUR
DE000DZ8L9C1,935900,EUR
DE000EH0A1C5,267716,EUR
DE000EH0A1W3,250204,EUR
DE000EH1A311,78964,EUR
DE000EH1ACA0,284196,EUR
DE000GRN0008,27977,EUR
DE000HSH40E5,25822,EUR
DE000HSH5Y29,50702,EUR
DE000HSH6K16,50618,EUR
DE000HSH6KQ4,12642,EUR
DE000HV2AH47,12951,EUR
DE000KC01000,2258,EUR
DE000KSAG888,18433,EUR
DE000LB06G44,12698,EUR
DE000LB1B2E5,25957,EUR
DE000LB1DVL8,10150,EUR
DE000LBW7SA3,35266,EUR
DE000LBW7YY1,131171,EUR
DE000LBW9JL5,241816,EUR
DE000LED4000,4293,EUR
DE000MHB06J1,54012,EUR
DE000MHB10J3,2678181,EUR
DE000NLB2DX9,27754,EUR
DE000NLB2TD7,25279,EUR
DE000NLB5K54,13171,EUR
DE000NWB0329,10901,EUR
DE000NWB9023,156191,EUR
DE000PSM7770,1527,EUR
DE000SE8E4L5,1920,EUR
DE000SE8E4M3,479,EUR
DE000SHL1006,3608,EUR
DE000TB08ES0,304551,EUR
DE000TB2T5U6,727276,EUR
DE000TLX2003,54360,EUR
DE000TLX2102,297026,EUR
DE000WLB8GB4,311495,EUR
DK0002004258,27,EUR
DK0002030840,377373,EUR
DK0002032895,23166,EUR
DK0002032978,47314,EUR
DK0002038744,183236,EUR
DK0003215838,36,EUR
DK0004606134,193924,EUR
DK0004715505,172407,EUR
DK0009265662,15,EUR
DK0009270233,137746,EUR
DK0009292559,352925,EUR
DK0009293441,352963,EUR
DK0009297194,77850,EUR
DK0009297350,70483,EUR
DK0009382707,331128,EUR
DK0009384323,314441,EUR
DK0009387938,278790,EUR
DK0009392425,13344,EUR
DK0009504169,377112,EUR
DK0009504755,86615,EUR
DK0009510992,12695,EUR
DK0009513582,223537,EUR
DK0009740722,379,EUR
DK0009748709,171,EUR
DK0009750010,82,EUR
DK0009757296,7326,EUR
DK0009760167,623,EUR
DK0009763260,17887,EUR
DK0009798803,405460,EUR
DK0060534915,5930,EUR
ES0173516115,10690,EUR
ES0200002030,170158,EUR
ES0205045018,25059,EUR
ES0211845302,14214,EUR
ES0224244071,30004,EUR
ES0224244089,10605,EUR
ES0224244097,10154,EUR
ES0224261059,309324,EUR
ES0312298054,422532,EUR
ES0312298096,164981,EUR
ES0312298120,841273,EUR
ES0312342019,45909,EUR
ES0312358015,816637,EUR
ES0312362017,97201,EUR
ES0317045005,78757,EUR
ES0317046003,472886,EUR
ES0334699008,30045,EUR
ES0347784003,281997,EUR
ES0349045007,1273160,EUR
ES0371622020,67319,EUR
ES0371622046,362468,EUR
ES0378641288,115801,EUR
ES0413211071,1330210,EUR
ES0413211105,418752,EUR
ES0413211121,696858,EUR
ES0413211790,194273,EUR
ES0413211816,187799,EUR
ES0413211824,7786,EUR
ES0413211915,58433,EUR
ES0413679327,77840,EUR
ES0413679343,56901,EUR
ES0413860596,75637,EUR
ES0413900087,242807,EUR
ES0413900129,1572434,EUR
ES0413900160,992444,EUR
ES0413900368,104667,EUR
ES0413900376,394405,EUR
ES0413900392,146083,EUR
ES0413900400,136757,EUR
ES0413900533,50572,EUR
ES0414950628,145454,EUR
ES0414950644,523882,EUR
ES0414970204,15504,EUR
ES0414970246,355293,EUR
ES0415306051,12674,EUR
ES0415306069,20345,EUR
ES0422714032,18323,EUR
ES0422714040,25612,EUR
ES0440609248,102913,EUR
ES0440609271,12578,EUR
ES0440609347,1581394,EUR
ES0440609396,25139,EUR
ES0443307048,13261,EUR
ES0457089003,25825,EUR
ES0457089011,12864,EUR
FI0009000681,162,EUR
FI4000047360,10471,EUR
FI4000261201,38601,EUR
FI4000266903,555871,EUR
FI4000282629,25483,EUR
FI4000282801,12661,EUR
FI4000331004,21454,EUR
FR0000052292,2442,EUR
FR0000120578,61788,EUR
FR0000120628,20108,EUR
FR0000120644,23474,EUR
FR0000130809,2742,EUR
FR0000131906,4057,EUR
FR0000133308,12744,EUR
FR0000184798,9664,EUR
FR0000472938,261361,EUR
FR0004056851,6099,EUR
FR0010014845,15349,EUR
FR0010070912,476745,EUR
FR0010093393,355177,EUR
FR0010165563,342317,EUR
FR0010167197,361699,EUR
FR0010173781,346757,EUR
FR0010173799,341042,EUR
FR0010178400,367576,EUR
FR0010261396,54725,EUR
FR0010279141,282989,EUR
FR0010292094,319007,EUR
FR0010292169,349218,EUR
FR0010363523,374093,EUR
FR0010464321,176251,EUR
FR0010474239,8995,EUR
FR0010726208,718761,EUR
FR0010742908,10585,EUR
FR0010758599,362083,EUR
FR0010760769,278575,EUR
FR0010762039,868636,EUR
FR0010775486,459113,EUR
FR0010781591,270865,EUR
FR0010800540,534796,EUR
FR0010804500,10088,EUR
FR0010814319,235580,EUR
FR0010815464,10729,EUR
FR0010850982,439637,EUR
FR0010855155,587608,EUR
FR0010857672,135658,EUR
FR0010870949,82459,EUR
FR0010883058,169235,EUR
FR0010891317,262229,EUR
FR0010910240,24337,EUR
FR0010910620,154005,EUR
FR0010913178,460697,EUR
FR0010913749,1216346,EUR
FR0010915843,339204,EUR
FR0010918490,120361,EUR
FR0010920900,1856848,EUR
FR0010922534,135170,EUR
FR0010937946,440737,EUR
FR0010939207,204071,EUR
FR0010941484,8286,EUR
FR0010941690,3919,EUR
FR0010945451,713070,EUR
FR0010945964,459896,EUR
FR0010957670,231316,EUR
FR0010959924,330621,EUR
FR0010960070,197352,EUR
FR0010961540,358791,EUR
FR0010970822,265173,EUR
FR0010970863,321259,EUR
FR0010988873,1594651,EUR
FR0010989087,923092,EUR
FR0010989889,197739,EUR
FR0010990390,75546,EUR
FR0010998039,42746,EUR
FR0011001684,295320,EUR
FR0011011188,122132,EUR
FR0011022094,257228,EUR
FR0011033851,2921,EUR
FR0011035575,77164,EUR
FR0011053255,23482,EUR
FR0011057306,14647,EUR
FR0011075167,200230,EUR
FR0011108976,280163,EUR
FR0011109321,160118,EUR
FR0011133008,180121,EUR
FR0011140912,8695,EUR
FR0011147305,64382,EUR
FR0011169879,116970,EUR
FR0011178946,673340,EUR
